"","all_trips$member_casual","all_trips$day_of_week","all_trips$ride_length"
"1","casual","Sunday",2216.05186084699
"2","member","Sunday",854.840401741328
"3","casual","Monday",1903.73404016866
"4","member","Monday",743.015321761905
"5","casual","Tuesday",1684.95918697143
"6","member","Tuesday",733.106433040966
"7","casual","Wednesday",1614.05558559065
"8","member","Wednesday",731.699514756714
"9","casual","Thursday",1665.20897097018
"10","member","Thursday",743.87927222963
"11","casual","Friday",1837.66794883168
"12","member","Friday",758.305777078321
"13","casual","Saturday",2117.049269513
"14","member","Saturday",862.18935897985
